1;45;119;187;135;157;238;169;279;202;309;296;349;329;302;338;260;348;178;468;240;468;240;468;240;468;240;468;240;468;240;468;240;468;240;468;240;468;240;468;240;468;240;468;240;468;240;468;240;468;240
2;205;11;202;57;153;233;157;265;179;295;304;352;356;374;423;369;462;256;546;280;653;290;674;262;686;241;692;187;701;153;702;128;702;128;702;128;702;128;702;128;702;128;702;128;702;128;702;128;702;128
3;132;177;200;143;187;79;197;60;197;42;197;42;197;42;197;42;197;42;197;42;197;42;197;42;197;42;197;42;197;42;197;42;197;42;197;42;197;42;197;42;197;42;197;42;197;42;197;42;197;42
4;35;119;312;154;348;162;355;101;302;77;295;71;289;89;272;89;266;147;266;147;266;147;266;147;266;147;266;147;266;147;266;147;266;147;266;147;266;147;266;147;266;147;266;147;266;147;266;147;266;147
5;53;121;191;139;151;234;172;288;303;349;303;349;303;349;303;349;303;349;303;349;303;349;303;349;303;349;303;349;303;349;303;349;303;349;303;349;303;349;303;349;303;349;303;349;303;349;303;349;303;349
6;15;7;27;82;26;113;176;138;153;231;157;256;168;279;201;303;300;348;300;348;300;348;300;348;300;348;300;348;300;348;300;348;300;348;300;348;300;348;300;348;300;348;300;348;300;348;300;348;300;348
7;206;11;153;240;139;250;115;250;90;254;59;236;45;273;280;392;302;357;608;380;615;379;635;323;660;286;689;237;701;133;701;133;701;133;701;133;701;133;701;133;701;133;701;133;701;133;701;133;701;133
8;193;228;330;170;157;41;83;92;83;92;83;92;83;92;83;92;83;92;83;92;83;92;83;92;83;92;83;92;83;92;83;92;83;92;83;92;83;92;83;92;83;92;83;92;83;92;83;92;83;92
9;199;280;329;179;199;103;70;203;70;203;70;203;70;203;70;203;70;203;70;203;70;203;70;203;70;203;70;203;70;203;70;203;70;203;70;203;70;203;70;203;70;203;70;203;70;203;70;203;70;203
11;192;247;282;195;198;85;54;158;54;158;54;158;54;158;54;158;54;158;54;158;54;158;54;158;54;158;54;158;54;158;54;158;54;158;54;158;54;158;54;158;54;158;54;158;54;158;54;158;54;158
